codigo,name
151,SIDERO GALVANICA  C.A.
107,SIDERURGICA DEL TURBIO S.A.
102,SIDOR  C.A.(PROD.PLANOS).
101,SIDOR C.A.
9813,SOCOMINTER  S.A.
10271,SOUTH AMERICAN TRADING C.A.SATCA
10328,STC INTERMESA TRADING CO
11732,STEEL IG MEXICO S.A. DE C.V.
173,SUMINDU  S.A.
10261,SUMINISTROS FELVI C.A.
9554,SUMINISTROS J.E.
9789,SUMINISTROS RIOJA RUSTICOS  C.A.
155,SUPLIDORA DE MATERIALES CARABOBO C.
191,SUPLIDORA DEL SUR  C.A.
198,TAD CHACIN S.A.
9948,TALLER DE SERV Y MONTAJE SALVADOR 
176,TECHOMAT METROPOLITANO C.A.
10582,TECNICA MEGALEC  C.A.
106,TRAFILADOS DE ORIENTE  C.A.
127,TREF.Y ELECTROSOL. UNION  C.A.
10524,TREFILADOS 4H C.A.
196,TUBO Y ACERO DE ORIENTE C.A.
152,TUBOACERO C.A.
165,TUBOMARA  C.A.
184,TUBOS Y CONEXIONES C.A.
159,UNI.IND.VZLANA UNIVENSA S.A.
512,USIMINAS
518,UVISCO LIMITED
10882,VENEZOLANA DE COBERTURAS C.A.
9739,VENEZUELA HEAVY INDUSTRIES  C.A.
11403,VIGACERO  C.A.
11699,WINNA EDUCA  S.R.L.
