codigo,descripcion
004627,LF.A366 0.70 X1200X2400mm
004628,LF.A366 0.80 X1000X2000MM
004629,LF.A366 0.80 X1000X2000MM
004630,LF.A366 0.80 X1200X2400MM
004635,LF.A366 0.90 X1000X2000mm
004640,LF.A366 0.90 X1200X2400mm
004645,LF.A366 1.00 X1000X2000MM
004650,LF.A366 1.00 X1200X2400MM
004655,LF.A366 1.10 X1000X2000mm
004660,LF.A366 1.10 X1200X2400mm
004665,LF.A366 1.20 X1000X2000mm
004670,LF.A366 1.20 X1200X2400mm
004685,LAM.LF. 1.4  X1000X2000MM
004690,LF.A366 1.40 X1200X2400mm
004695,LF.A366 1.50 X1000X2000mm
004700,LF.A366 1.50 X1200X2400mm
004735,LF.A366 1.90 X1000X2000mm
004740,LF.A366 1.90 X1200X2400mm
004800,BOBINA A366 0.45 X 1200MM
004802,BOBINA A366 0.45 X 1000MM
004819,BOBINA A366 0.60 X 1000MM
004820,BOBINA A366 0.60 X 1200MM
004825,BOBINA A366 0.70 X 1000MM
004827,BOBINA A366 0.70 X 1200MM
004835,BOBINA A366 0.90 X 1000MM
004840,BOBINA A366 0.90 X 1200MM
004855,BOBINA A366 1.10 X 1000MM
004860,BOBINA A366 1.10 X 1200MM
004865,BOBINA A366 1.20 X 1000MM
004870,BOBINA A366 1.20 X 1200MM
004890,BOBINA A366 1.40 X 1200MM
004895,BOBINA A366 1.50 X 1000MM
004900,BOBINA A366 1.50 X 1200MM
004935,BOBINA A366 1.90 X 1000MM
004940,BOBINA A366 1.90 X 1200MM
005010,L.HN.A36 2.50X1200X2400mm
005011,L.HN.A36  2.5X1200X2400MM
005012,L.HN.A36 2.75X1200X2400mm
005015,L.HN.A36 2.75X1200X2400MM
005019,L.HN.A36    3X1000X2000mm
005023,L.HN.A36    3X1200X2400mm
005025,L.HN.A36    3X1200X3000mm
005027,L.HN.A36    3X1200X6000mm
005028,L.HN.A36 3.80X1200X2400mm
005029,L.HN. A-36 3X1200X10500MM
005030,L.HN.A36    4X1200X2400mm
005032,L.HN.A36    4X1200X6000mm
005035,LH.N.A36 4.50X1200X2400MM
005041,L.HN.A36    5X1200X2400mm
005045,L.HN.A36    5X1200X6000mm
005096,L.HN.A36    6X1000X2000mm
005098,L.HN.A36    6X1200X2400mm
005100,L.HN.A36    6X1200X3000mm
005101,L.HN.A36    6X1200X4000mm
005102,L.HN.A36    6X1200X6000mm
005104,L.HN.A36   6X1200X12000MM
005115,L.HN.A36    8X1200X2400mm
005119,L.HN.A36    8X1200X6000mm
005120,L.HN.A36   8X1200X12000mm
005121,L.HN.A36  10X1200X12000mm
005122,L.HN.A36   10X1200X6000mm
005123,L.HN.A36   10X1200X3000mm
005124,L.HN.A36   10X1000X2000mm
005125,L.HN.A36   10X1200X2400mm
005126,L.HN.A36   12X1000X2000mm
005127,L.HN.A36   12X1200X3000mm
005128,L.HN.A36   12X1200X2400mm
005129,L.HN.A36   12X1200X6000mm
005130,L.HN.A36   16X1200X2400mm
005131,L.HN.A36 12.7X1200X2400mm
005132,L.HN.A36  12X1200X12000mm
005133,L.HN.A36   16X1000X2000mm
005135,L.HN.A36   19X1000X2000mm
005136,L.HN.A36   19X1200X2400mm
005138,L.HN.A36   22X1200X2400mm
005140,L.HN.A36   25X1000X2000mm
005141,L.HN.A36   25X1200X2400mm
005143,LAMINA HN  28X1200X2400mm
005148,L.HN.A36   31X1000X2000mm
005149,L.HN.A36   31X1200X2400mm
005157,L.HN.A36   38X1000X2000mm
005160,L.HN.A36   38X1200X2400mm
005170,L.HN.A36   45X1000X2000MM
005180,L.HN.A36   50X1000X2000MM
005181,L.HN.A36   50X1200X2400mm
005185,L.HN.A36   55X1000X2000MM
005190,L.HN.A36   57X1200X2400MM
005200,L.HN.A36   75X1000X2000MM
005210,L.HN.A36   75X1200X2400MM
005230,L.HN.A36  100X1000X2000MM
005232,L.HN.A-36 100X1200X2400mm
005272,LAMINA HN 2.0X1000X2000mm
005273,LAMINA HN 2.0X1200X2400mm
005275,LAMINA HN 2.5X1000X2000mm
005285,LAMINA HN 2.5X1200X2400mm
005287,LAMINA HN 2.5X1230X2400mm
005295,LAMINA HN 2.8X1200X2400mm
005301,LAMINA HN 3.0X1000X2000mm
005302,L.SAEJ403 3.0X1000X2400MM
005303,LAMINA HN 3.0X1200X2400mm
005304,LAMINA HN 3.0X1000X2400mm
005305,LAMINA HN 3.0X1200X3130mm
005307,LAMINA HN 3.0X1200X6000mm
005308,LAMINA HN 3.0X1230X2400mm
005309,L.SAEJ403 3.0X1230X2400mm
005310,LAMINA HN 3.8X1200X2400mm
005314,LAMINA HN 4.0X1200X2400mm
005315,LAMINA HN 4.0X1200X6000mm
005316,LAMINA HN 4.0X1200X3000MM
005317,LAMINA HN 4.0X1230X2400mm
005318,LAMINA HN 5.0X1200X2400mm
005319,LAMINA HN 4.5X1200X2400mm
005320,LAMINA HN 5.0X1200X6000mm
005328,LAMINA HN 6.0X1200X2400mm
005343,LAMINA HN  10X1000X2000MM
005347,LAMINA HN  12X1000X2000MM
005350,LAMINA HN  13X1000X2000MM
005353,LAMINA HN  13X1200X2400MM
005356,LAMINA HN  16X1000X2000mm
005359,LAMINA HN  16X1200X2400mm
005360,LAMINA HN  31X1000X2000mm
005362,LAMINA HN  19X1000X2000mm
005365,LAMINA HN  19X1200X2400mm
005374,LAMINA HN  25X1000X2000mm
005377,LAMINA HN  25X1200X2400mm
005383,LAMINA HN  31X1000X2000mm
005387,LAMINA HN  31X1200X2400mm
005390,LAMINA HN  38X1000X2000mm
005393,LAMINA HN  38X1200X2400mm
005400,.........................
005404,LAM.EST. 2.80X1000X2400mm
005405,LAM.EST. 3.00X1200X2400mm
005406,LAM.EST. 3.00X1000X2400mm
005409,LAM.EST. 4.00X1000X2400MM
005410,LAM.EST. 4.00X1200X2400mm
005415,LAM.EST. 4.50X1200X2400mm
005430,LAM.EST. 6.00X1200X2400mm
005499,BOBINA A36      2X 1200MM
005500,BOBINA A36   2.50X 1200MM
005501,BOBINA A36   2.50X 1200MM
005503,BOBINA A36   2.75X 1200MM
005504,BOBINA A36      3X 1000MM
005505,BOBINA A36      3X 1200MM
005506,BOBINA A36      3X 1200MM
005509,BOBINA A36   3.80X 1200MM
005510,BOBINA A36      4X 1200MM
005511,BOBINA A-36 4.10 X 1200MM
005512,BOBINA A36      5X 1200MM
005514,BOBINA A36      6X 1000MM
005515,BOBINA A36      6X 1200mm
005517,BOBINA A36      6X 1200MM
005525,BOBINA A36      8X 1200mm
005550,BOBINA A36     10X 1000MM
005560,BOBINA A36     10X 1200mm
005570,BOBINA A36     12X 1000MM
005580,BOBINA A36     12X 1200mm
005583,BOBINA A-569 2.00X1000 MM
005584,BOBINA A-569 2.00X1200 MM
005585,BOBINA A569  2.50X 1000MM
005586,BOBINA A569 2.50X1230  mm
005587,BOBINA A-569 2.85X1200 MM
005588,BOBINA ESTR. 2.80X1000 mm
005589,BOBINA A569 3.00X1230  mm
005590,BOBINA ESTR  2.56X 1000MM
005591,BOBINA A569  2.50X 1200MM
005592,BOBINA ESTR     3X 1000MM
005593,BOBINA ESTR     6X 1200MM
005594,BOBINA A569  2.80X 1200MM
005595,BOBINA ESTR     3X 1200MM
005596,BOBINA A569  2.50X 1200MM
005597,BOBINA A569     3X 1000MM
005598,BOBINA A569     3X 1200MM
005599,BOBINA A569     3X 1200MM
005600,BOB.SAE J403 3.00X1230 mm
005601,BOBINA A569     4X 1200MM
005602,BOBINA A569     5X 1200MM
005603,BOBINA A569  6.00X 1200MM
005604,BOBINA A569 4.00X1230  mm
005605,BOBINA A569  4.10X 1200MM
005606,LAM. A36   6X2400X12000mm
005607,LAM. A36   6X2400X 6000mm
005608,LAM. A36   6X2400X 3480MM
005609,LAM. A36   6X2400X 4000MM
005610,LAM. A36   8X2000X 6000MM
005611,LAM. A36 6X2400X9100   MM
005612,LAM. A36   8X2000X 8000MM
005613,LAM.A36 6X2000X6000mm
005614,LAM. A36 6X2000X12000mm
005616,LAM. A36 8X2000X12000mm
005619,LAM.A-36 16MMX2000X6000MM
005620,LAM.A36 16MMX2000X12000MM
005621,LAM.A36 19X2000X12000MM
005622,LAM.A36 25mmX2000X12000mm
005623,LAM. A36   8X2400X 4000MM
005624,LAM. A36   8X2400X 6000mm
005625,LAM. A36   8X2400X12000mm
005635,LAM. A36   9X2400X12000mm
005645,LAM. A36  10X2400X 6000mm
005650,LAM. A36  10X2400X12000mm
005651,L.A36  12.70X1473X12192MM
005652,L.A36  12.70X1550X12192MM
005653,L.A36  15.88X2438X12192MM
005654,L.A36  31.75X2438X12192MM
005655,LAM. A36  12X2400X 4000MM
005657,LAM. A36  12X2400X12000mm
005658,LAM. A36  12X2400X 6000mm
005659,LAM. A36  13X2400X 6000mm
005660,LAM. A36  13X2400X12000mm
005661,LAM.A36 12.7X2400X12000mm
005662,LAM.A36 12.70X2400X6000mm
005665,LAM. A36  14X1000X 2650MM
005669,LAM. A36  16X2400X 6000mm
005670,LAM. A36  16X2400X12000mm
005671,LAM. A588 16X1800X12000MM
005672,LAM. A285 16X2400X12000MM
005679,LAM. A588 19X1780X12000MM
005680,LAM. A36  19X2400X12000mm
005681,LAM. A36  19X2400X 6000mm
005682,LAM. A36  22X2400X12000mm
005683,LAM. A36 22X2400X6000  mm
005685,LAM. A588 25X 900X 2050MM
005690,LAM. A36  25X2400X 6000mm
005694,ES EL 005690 TEMPORAL
005695,LAM. A36  25X2400X12000mm
005697,LAM. A-36 28X2400X12000mm
005700,LAM. A36  31X2400X 6000mm
005708,LAM.A-36 31X2000X12000 MM
005710,LAM. A36  31X2400X12000mm
005716,LAM. A36 38X2050X12000 mm
005718,LAM. A36  38X2100X12000mm
005720,LAM. A36  38X2400X 4000mm
005722,LAM. A36  38X2400X 6000mm
005725,LAM. A36  38X2400X12000mm
005730,LAM. A36  50X2400X 4000mm
005732,LAM. A36  50X2400X 6000mm
005735,LAM. A36  50X2400X12000mm
005750,LAM. A36  75X2400X 4000mm
005751,LAM. A36  75X2400X 6000mm
005755,LAM.A131   6X1200X 2400mm
005760,LAM.A131   8X1200X 2400mm
005765,LAM.A131  10X1200X 2400mm
005769,LAM.A131  12X1200X 2400mm
005770,LAM.ACERO NAVAL A-131 G.A
005778,LAM.A131   6X2400X 6000mm
005780,LAM.A131   6X2400X12000mm
005782,LAM.A131   8X2400X 6000mm
005784,LAM.A131   8X2400X12000mm
005786,LAM.A131  10X2400X 6000mm
005788,LAM.A131  10X2400X12000mm
005790,LAM.A131  12X2400X 6000mm
005792,LAM.A131  12X2400X12000mm
005793,A588 12.70X2438.40X12.192
005794,A588 15.88X2438.40X12.192
005795,A588 19.05X2438.40X6.096m
005796,A588 25.40X2438.40X12.192
005797,A588 31.75X2438.40X12.192
005798,A588 50.80X2438.40X12.192
005849,L.DC.A36 2.00X1200X2400mm
005850,L.DC.A36 2.25X1200X2400mm
005860,L.DC.A36 2.50X1000X2000MM
005865,L.DC.A36 2.50X1200X2400mm
005868,L.DC.A36 2.75X1200X2400mm
005870,L.DC.A36    3X1200X2400mm
005876,L.DC.A36    3X1200X2400MM
005878,L.DC.A36    3X1200X2400MM
005894,BOB.DEC. A569 2.00X1200MM
005895,BOB.DEC. A-36 2.25X1000MM
005900,BOB.DEC. A-36 2.25X1200MM
005901,BOB.DEC. A569 2.25X1200mm
005902,BOB.DEC. A-36 2.30X1000MM
005910,BOB.DEC. A-36 2.50X1200MM
005911,BOB.DEC. A569 2.50X1200mm
005915,BOB.DEC. A-36 2.75X1200MM
005920,BOB.DEC. A-36    3X1200MM
005921,BOB.DEC. A569    3X1200mm
005925,BOB.DEC. A-36    3X1200MM
005935,BOB.DEC. A-36    3X1200MM
005945,BOB.DEC. A-36    3X1200MM
005950,BOBINA A131      6X1200MM
005955,BOBINA A131      8X1200MM
005960,BOBINA A131     10X1200MM
005965,BOBINA A131     12X1200MM
006001,MALLA P/PISO 4X4 TIPO 198
006004,MALLA P/PISO 5 x 5 100 M2
006005,MALLA P/PISO 5 x 5 120M2
006100,MALLA EN ROLLO 150X150 mm
006101,MALLA P/PISO 6X4 TIPO 167
006102,MALLA P/PISO 6X6 TIPO 133
006200,MALLA P/PISO 6X6 1/2ROLLO
006220,MALLA POPULAR 6X6   100m2
006230,MALLA POPULAR 6X6    50m2
006400,PRACTIMALLA       6x6x3m2
006500,MALLA DYNAMIC
006550,MALLA ESPECIAL
006552,Malla Esp.100X4.5 L1 t-p1
006554,Malla Esp.100X4.5 L2 t-p1
006556,Malla Esp.100X5   L1 t-p2
006558,Malla Esp.100X5   L2 t-p2
006560,Malla Esp100X5X4.8 L1 t-i
006562,Malla Esp100X5X4.8 L2 t-i
006564,M.Esp.100X8.5X6.5  L1 t-f
006566,M.Esp.100X8.5X6.5 L2 t-f1
006568,M.Esp.100X8.5X6.5 L2 t-f2
006570,M.Esp.200X100X4X5  L1 t-s
006572,M.Esp.200X100x4X5 L2 t-s1
006574,M.Esp.200X100X4X5 L2 t-s2
006710,CERCHAS STD C-8      X 6m
006720,CERCHAS STD C-8      X12m
006730,CERCHAS STD C-10     X 6m
006740,CERCHAS STD C-10     X12m
006750,CERCHAS STD C-15     X 6m
006760,CERCHAS STD C-15     X12M
006770,CERCHAS STD C-20     X 6m
006780,CERCHAS STD C-20     X12M
007001,"PLETINAS   1/2""X1/8""  X6m"
007002,"PLETINAS   5/8""X1/8""  X6m"
007003,"PLETINAS   3/4""X1/8""  X6m"
007004,"PLETINAS     1""X1/8""  X6m"
007005,"PLETINAS  11/4""X1/8""  X6m"
007006,"PLETINAS 1 1/2""X1/8""  X6m"
007007,"PLETINAS     2""X1/8""  X6m"
007101,"PLETINAS   1/2""X3/16"" X6m"
007102,"PLETINAS   5/8""X3/16"" X6M"
007103,"PLETINAS   3/4""X3/16"" X6m"
007104,"PLETINAS     1""X3/16"" X6m"
007105,"PLETINAS  1 1/4X3/16"" X6m"
007106,"PLETINAS  1 1/2X3/16"" X6m"
007107,"PLETINAS     2""X3/16"" X6m"
007201,"PLETINAS   1/2""X1/4""  X6M"
007202,"PLETINAS   5/8""X1/4""  X6M"
007203,"PLETINAS   3/4""X1/4""  X6M"
007204,"PLETINAS     1""X1/4""  X6m"
007205,"PLETINAS  1 1/4X1/4""  X6m"
007206,"PLETINAS  1 1/2X1/4""  X6m"
007207,"PLETINAS     2""X1/4""  X6m"
007301,"PLETINAS     1""X3/8""  X6M"
007302,"PLETINAS  1 1/2X3/8""  X6m"
007303,"PLETINAS     2""X3/8""  X6m"
007401,"PLETINAS     1""X1/2""  X6M"
007402,"PLETINAS 1  1/2X1/2""  X6M"
007403,"PLETINAS     2""X1/2""  X6m"
007500,PLETINAS     65X 6mm  X6m
007501,PLETINAS     65X 9mm  X6m
007502,PLETINAS     65X12mm  X6m
007551,PLETINAS     75X 6mm  X6m
007552,PLETINAS     75X 9mm  X6m
007553,PLETINAS     75X12mm  X6m
007554,PLETINAS    100X 6mm  X6m
007555,PLETINAS    100X 9mm  X6m
007556,PLETINAS    100X12mm  X6m
007562,PLETINAS 150 X 6MM X 6MTS
007564,PLETINA 150X12 MM X 6 MTS
007600,"TUBO CONC.C-4 024""X2.50 m"
007601,"TUBO CONC.C-2 015""X1.22 m"
007602,"TUBO CONC.C-1  08""X1.22 m"
007603,"TUBO VENT.1 1/4""(2.30)X6M"
007604,"TUBO VENT.1 1/2""(2.30)X6M"
007605,"TUBO VENT.4""(2.90) X 6MTS"
007606,"TUBO VENTL. 3""(2.90)X6MTS"
007608,"TUBO VENTL. 2""(2.30)X6MTS"
008220,TN. ASTM-A53 1/2X2.77X6.4
008230,TN. ASTM-A53 3/4X2.87X6.4
008240,TN. ASTM-A53   1X3.38X6.4
008250,T.ASTM-A53 1 1/4X3.56X6.4
008260,T.ASTM-A53 1 1/2X3.68X6.4
008270,TN. ASTM-A53   2X3.91X6.4
008280,T.ASTM-A53 2 1/2X5.16X6.4
008290,TN. ASTM-A53   3X5.49X6.4
008300,TN. ASTM-A53   4X6.02X6.4
008310,TN. ASTM-A53   6X6.35X6.4
008320,TN. ASTM-A53   6X7.11X6.4
008330,TN. ASTM-A53   8X6.35X6.4
008340,TN. ASTM-A53   8X8.18X6.4
008350,TN. ASTM-A53  10X6.35X6.4
008360,TN. ASTM-A53  10X9.27X6.4
008370,TN. ASTM-A53  12X6.35X6.4
008380,TN. ASTM-A53  12X9.52X6.4
008410,"TG.ISOII AGUA   3/8""X6.4M"
008420,"TG.ISOII AGUA   1/2""X6.4M"
008430,"TG.ISOII AGUA   3/4""X6.4M"
008440,"TG.ISOII AGUA     1""X6.4M"
008450,"TG.ISOII AGUA 1 1/4""X6.4M"
008460,"TG.ISOII AGUA 1 1/2""X6.4M"
008470,"TG.ISOII AGUA     2""X6.4M"
008510,"TG.ISO I AGUA 2 1/2""X6.4M"
008520,"TG.ISO I AGUA     3""X6.4M"
008530,"TG.ISO I AGUA     4""X6.4M"
008600,"TG.ASTM A53 AG. 3/8""X6.4M"
008610,"TG.ASTM A53 AG. 1/2""X6.4M"
008620,"TG.ASTM A53 AG. 3/4""X6.4M"
008630,"TG.ASTM A53 AG.   1""X6.4M"
008640,"TG.ASTM A53 AG.1 1/4""X6.4"
008650,"TG.ASTM A53 AG.1 1/2""X6.4"
008660,"TG.ASTM A53 AG.   2""X6.4M"
008670,"TG.ASTM A53 AG.2 1/2""X6.4"
008680,"TG.ASTM A53 AG.   3""X6.4M"
008690,"TG.ASTM A53 AG.   4""X6.4M"
008700,"TG.ASTM A53 AG.   6""X6.4M"
008810,VIGAS IPN SG.DIN    17100
008815,-------------------------
008820,VIGAS IPN AE25  60mm X12m
008821,VIGAS IPN AE25  60MM X 6M
009001,VIGAS IPN AE25  80MM X 6M
009003,VIGAS IPN AE25  80mm X12m
009004,VIGAS IPN AE25 100mm X 6m
009005,VIGAS IPN AE25 100mm X12m
009007,V.IPN DIN17100  120MMX 6M
009008,V.IPN DIN17100  120mmX12m
009009,V.IPN DIN17100  140mmX 6m
009010,V.IPN DIN17100  140mmX12m
009012,V.IPN DIN17100  160mmX12m
009014,V.IPN DIN17100  180mmX12m
009015,V.IPN DIN1700 200 MM X 6M
009016,V.IPN DIN17100  200mmX12m
009018,V.IPN DIN17100  240mmX12m
009021,V.IPN DIN17100  300mmX12m
009030,V.IPN DIN17100  300mmX12m
009031,VIGA IPN        360mmX12m
009032,V.IPN DIN17100  400mmX12m
009033,V.IPN DIN17100 450mmX12m
009034,V.IPN DIN17100 500MMX12MT
009035,wf 21X8.25  X 62 X 12 mts
009050,VIGA IPN AE25    80MMX10M
009055,VIGA IPN AE25   100MMX10M
009060,V.IPN DIN17100  120MMX10M
009065,VIGA IPN AE25   140MMX10M
009078,VIGA UPE 100MM X 12M
009080,VIGA UPEL       120mmX12m
009083,VIGA UPEL       140mmX12m
009085,VIGA UPEL 160 MM X 6  MTS
009086,VIGA UPEL       160mmX12m
009089,VIGA UPEL       180mmX12m
009091,VIGA UPEL 200 MM X 6  MTS
009092,VIGA UPEL       200mmX12m
009093,Viga upe  140 mm X 12 mts
009094,VIGA UPE      160mm X 12m
009095,VIGA UPE      180mm X 12m
009096,VIGA UPE      200mm x 12m
009098,VIGA UPL LIVIANA DIN17100
009099,VIGA UPL AE25    80mmX 6m
009100,VIGA UPL AE25    80MMX10M
009101,VIGA UPL AE25    80mmX12m
009102,VIGA UPL AE25   100mmX 9m
009103,VIGA UPL AE25   100mmX12m
009104,VIGA UPL AE25   120mmX 6m
009105,VIGA UPL AE25   120mmX12m
009106,UPL DIN 17100   140MMX12M
009107,UPL DIN 17100   160MMX12M
009108,UPL DIN 17100   180MMX12M
009109,UPL DIN 17100   200MMX12M
009110,VIGA UPL AE25   100mmX 6m
009111,UPL DIN 17100   240MMX12M
009114,UPL DIN 17100   300MMX12M
009116,V. UPAM  LIVIANA ASTM-A36
009119,V. UPAM  LIVIANA ASTM-A36
009122,VIGA UPAMA36 127X44mmX12m
009124,VIGA UPAMA36 152X49mmX12m
009126,VIGA UPAMA36 178X53mmX12m
009128,VIGA UPAMA36 203X57mmX12m
009130,VIGA UPAMA36 254X66mmX12m
009132,VIGA UPAMA36 305X75mmX12m
009134,VIGA UPAMA36 305X75mmX12m
009199,"VIGA UPN""PESADA""DIN 17100"
009200,-------------------------
009201,"UPN ""PESADA""     80MMX12M"
009203,"UPN ""PESADA""    100mmX12m"
009205,"UPN ""PESADA""    120mmX12m"
009207,"UPN ""PESADA""    140mmX12m"
009209,"UPN ""PESADA""    160mmX12m"
009211,"UPN ""PESADA""    180mmX12m"
009213,"UPN ""PESADA""    200mmX12m"
009214,"UPN ""PESADA""     220mmx12"
009217,"UPN ""PESADA""    240mmX12m"
009223,"UPN ""PESADA""    300mmX12m"
009250,TUBO RED.      3X2.25X12m
009253,TUBO RED.  3 1/2X2.25X12m
009256,TUBO RED.  4 1/2X2.50X12m
009258,TUBO RED.  6 X 4.00 X 6 m
009259,TUBO RED.     5X3 X 12  m
009260,"TUBO RED. 5 1/2""X3.40X12m"
009261,TUBO RED.  6 X 4.00 X 12m
009262,TUBO RED.  6 5/8X4.30X12m
009263,TUBO RED.  6 5/8X4.30X6 m
009265,TUBO RED.  7 5/8X4.50X12m
009268,TUBO RED.  8 5/8X5.50X12m
009271,TUBO RED.  9 5/8X5.50X12m
009274,TUBO RED.  9 5/8X   7X12m
009277,TUBO RED. 10 3/4X   7X12m
009280,TUBO RED. 10 3/4X   9X12m
009283,TUBO RED. 12 3/4X   9X12m
009286,TUBO RED. 12 3/4X  11X12m
009350,"UPN ""PESADA""    300MMX12M"
009390,"UPN ""PESADA""    300MMX12M"
009393,"UPN ""PESADA""    300MMX12M"
009394,-------------------------
009395,TUBO    60X 60X2.25mmX 6m
009396,TUBO    50X 50X2.50mmX 6m
009397,TUBO    40X 40X2.50mmX 6m
009400,TUBO    60X 60X2.25mmX12m
009405,TUBO    70X 70X2.25mmX 6m
009410,TUBO    70X 70X2.25mmX12m
009415,TUBO    90X 90X2.50mmX 6m
009420,TUBO    90X 90X2.50mmX12m
009425,TUBO   100X100X   3mmX 6m
009430,TUBO   100X100X   3mmX12m
009440,TUBO   110X110X3.40mmX12m
009450,TUBO   120X120X   4mmX12m
009455,TUBO   135X135X4.30mmX 6m
009460,TUBO   135X135X4.30mmX12m
009468,TUBO 155x155x4.50mmx6.00m
009470,TUBO   155X155X4.50mmX12m
009478,TUBO 175X175 X 5.50mmX6m
009480,TUBO   175X175X5.50mmX12m
009482,TUBO   200X200X5.50mmX12m
009484,TUBO   200X200X   7mmX12m
009486,TUBO   200X200X   9mmX12m
009487,TUBO  200X200X10.50mmX12m
009488,TUBO 220X220       7mmX6m
009490,TUBO   220X220X   7mmX12m
009492,TUBO   220X220X   9mmX12m
009494,TUBO   260X260X   9mmX12m
009496,TUBO 260X260X   11mmx12m
009497,PERF.ESTRC.RECT.ASTM A500
009498,.........................
009499,TUBO    80X 40X2.25mmX 6m
009500,TUBO    80X 40X2.25mmX12m
009505,TUBO   100X 40X2.25mmX 6m
009510,TUBO   100X 40X2.25mmX12m
009515,TUBO   120X 60X2.50mmX 6m
009520,TUBO   120X 60X2.50mmX12m
009525,TUBO   140X 60X   3mmX 6m
009530,TUBO   140X 60X   3mmX12m
009538,TUBO    160X65X3.40mmX6 m
009540,TUBO   160X65X3.40mmX12 m
009542,TUBO    180X65X4.00mmX6 m
009550,TUBO    180X65X4.00mmX12m
009560,TUBO    200X70X4.30mmX12m
009570,TUBO    220X90X4.50mmX12m
009578,TUBO    260X90X5.50mmX6 m
009580,TUBO    260X90X5.50mmX12m
009582,TUBO   300X100X5.50mmX12m
009584,TUBO   300X100X   7mmX12m
009590,TUBO   320X120X   7mmX12m
009592,TUBO   320X120X   9mmX12m
009595,TUBO 350 X 170 X 9MM X6M
009596,TUBO   350X170X   9mmX12m
009597,TUBO 350X170x11mm X 6   m
009598,TUBO 350X170X11 mm X 12 m
009600,"SIMILARES A ""INP"" O ""IPN"""
009601,VIGA VP 100mm  (5.35)X12m
009602,VIGA VP 120mm  (9.7) X12m
009603,VIGA VP 120mm  (9.7) X12m
009604,VIGA VP 120mm  (9.7) X12m
009605,VIGA VP 140mm (12.4) X12m
009607,VIGA VP 160mm (16.4) X12m
009609,VIGA VP 175MM (14.7) X12M
009612,VIGA VP 180mm (17.7) X12m
009615,VIGA VP 200mm (24.1) X12m
009619,VIGA VP 220mm(25.057)X12m
009621,VIGA VP 250mm (29.4) X12m
009624,VIGA VP 300MM (31.2) X12M
009627,VIGA VP 300MM (34.7) X12M
009628,VIGA VP 300mm (41.3) X12m
009630,VIGA VP 350mm (36.5) X12m
009631,VIGA VP 350mm (48.3) X12m
009633,VIGA VP 400MM (41.8) X12M
009636,VIGA VP 400MM (42.7) X12M
009639,VIGA VP 400MM (42.7) X12M
009640,VIGA VP 400mm (55.4) X12m
009642,VIGA VP 400MM (55.4) X12M
009645,VIGA VP 420MM (56.7) X12M
009646,VIGA VP 420mm (65.7) X12m
009648,-------------------------
009649,"VIGAS SOLDADAS TIPO  ""CP"""
009650,"SIMILARES A ""HEA"" O ""HEB"""
009651,VIGA CP  80mm (3.98) X12m
009652,"VIGAS SOLDADAS TIPO ""CP"""
009653,VIGA CP 140mm (25.5) X12m
009656,VIGA CP 160mm (29.3) X12m
009659,VIGA CP 175MM (30.3) X12M
009660,VIGA CP 180mm (33.1) X12m
009662,VIGA CP 200MM (34.7) X12M
009663,VIGA CP 200MM (34.7) X12M
009664,VIGA CP 200MM (46.0) X12M
009665,VIGA CP 200mm (50.1) X12m
009666,VIGA CP 220MM (50.7) X12M
009667,VIGA CP 220mm (55.3) X12m
009668,VIGA CP 240mm (60.4) X12m
009670,VIGA CP 300mm (76.0) X12m
009671,VIGA CP 260mm (65.7) X12m
009672,PERFIL C100 X 3.62X9.00 m
009673,PERFIL C150 X 5.47X9.00MT
009674,PERFIL C150 X 7.54X9.00MT
009675,PERFIL C200 X 6.32X9.00MT
009676,PERFIL C200 X 8.72X9.00MT
009677,PERFIL C200 X 12.8X9.00MT
009678,PERFIL C250 X 7.67X9.00MT
009679,PERFIL C250 X 10.6X9.00MT
009680,PERFIL C250 X 15.7X9.00MT
009681,PERFIL C300 X 11.8X9.00MT
009682,PERFIL C300 X 17.4X9.00MT
009683,PERFIL C350 X 13.0X9.00MT
009684,PERFIL C350 X 19.2X9.00MT
009685,PERFIL Z150 X 5.57X6.60MT
009686,PERFIL Z200 X 6.41X9.60MT
009687,PERFIL Z200 X 8.88X9.60MT
009688,PERFIL Z200 X 13.2X9.60MT
009689,PERFIL Z250 X 7.76X9.90MT
009690,PERFIL Z250 X 10.8X9.90MT
009691,PERFIL Z250 X 16.0X9.90MT
009692,PERFIL CSL200X5.62X9.00MT
009693,PERFIL CSL250X6.97X9.00MT
009694,PERFIL CSL300X9.31X9.10MT
009695,PERFIL CSL300X13.7X9.10MT
009696,PERFIL CSL350X10.5X9.10MT
009697,FERFIL CSL350X15.5X9.10MT
009700,VIGAS IPE RST        37.2
009701,.........................
009704,VIGA IPE         80mmX12m
009706,VIGA IPE        100mmX12m
009708,VIGA IPE        120mmX12m
009710,VIGA IPE        140mmX12m
009712,VIGA IPE        160mmX12m
009714,VIGA IPE        180mmX12m
009715,VIGA IPE   200mm x 11.00m
009716,VIGA IPE        200mmX12m
009718,VIGA IPE        220mmX12m
009720,VIGA IPE        240mmX12m
009722,VIGA IPE        270mmX12m
009724,VIGA IPE        300mmX12m
009726,VIGA IPE        330mmX12m
009728,VIGA IPE        360mmX12m
009730,VIGA IPE        400mmX12m
009732,VIGA IPE        450mmX12m
009734,VIGA IPE        500mmX12m
009735,VIGA IPE        550mmX12m
009736,VIGA IPE        600mmX12m
009740,VIGA HEA O IPBL RTS  37.2
