codigo,descripcion
DSC309,"Tee c/rosca macho 63mmx2"""
DSC401,"Filtro en ""Y"" de    20 mm"
DSC402,"Filtro en ""Y"" de    25 mm"
DSC403,"Filtro en ""Y"" de    32 mm"
DSC404,"Filtro en ""Y"" de    40 mm"
DSC501,"Conect.agua sani20mmx1/2"""
DSC502,"Conect.agua sani25mmx1/2"""
DSD001,Tapon liso de       20 mm
DSD002,Tapon liso de       25 mm
DSD003,Tapon liso de       32 mm
DSD004,Tapon liso de       40 mm
DSD005,Tapon liso de       50 mm
DSD006,Tapon liso de       63 mm
DSD007,Tapon liso de       75 mm
DSD008,Tapon liso de       90 mm
DSD009,Tapon liso de      110 mm
DSD010,Tapon liso de      160 mm
DSE001,Codo 90 grados liso 20 mm
DSE002,Codo 90 grados liso 25 mm
DSE003,Codo 90 grados liso 32 mm
DSE004,Codo 90 grados liso 40 mm
DSE005,Codo 90 grados liso 50 mm
DSE006,Codo 90 grados liso 63 mm
DSE007,Codo 90 grados liso 75 mm
DSE008,Codo 90 grados liso 90 mm
DSE009,Codo 90 grados liso 110mm
DSE010,Codo 90 grados liso 160mm
DSE101,Codo 45 grados liso 20 mm
DSE102,Codo 45 grados liso 25 mm
DSE103,Codo 45 grados liso 32 mm
DSE104,Codo 45 grados liso 40 mm
DSE105,Codo 45 grados liso 50 mm
DSE106,Codo 45 grados liso 63 mm
DSE107,Codo 45 grados liso 75 mm
DSE108,Codo 45 grados liso 90 mm
DSE109,Codo 45 grados liso 110mm
DSE110,Codo 45 grados liso 160mm
DSE201,"Codo 90gdc/rhem 20mmx1/2"""
DSE202,"Codo 90grdc/rhem25mmx1/2"""
DSE203,"Codo 90grdc/rhem25mmx3/4"""
DSE204,"Codo 90grdc/rhem32mmx1/2"""
DSE205,"Codo 90grdc/rhem32mmx3/4"""
DSE206,"Codo 90grdc/rcahem32mmx1"""
DSE207,"Codo 90grdcrhem40mmx11/4"""
DSE208,"Codo 90grdcrhem50mmx11/2"""
DSE209,"Codo 90grdc/rcahem63mmx2"""
DSE401,"Codo 90grdcrmach20mmx1/2"""
DSE402,"Codo 90grdcrmach25mmx1/2"""
DSE403,"Codo 90grdcrmach25mmx3/4"""
DSE405,"Codo 90grdcrmach32mmx3/4"""
DSE406,"Codo 90grdcrcamach32mmx1"""
DSE407,"Codo 90grcrmach40mmx11/4"""
DSE408,"Codo 90grcrmach50mmx11/2"""
DSE409,"Codo 90grdcrcamach63mmx2"""
DSE601,Codo 90 grad.lisa 25x20mm
DSE602,Codo 90 grad.lisa 32x20mm
DSE603,Codo 90 grad.lisa 32x25mm
DSE701,"Codo 90grd c/uni20mmx1/2"""
DSE702,"Codo 90grd.c/uni25mmx3/4"""
DSE703,"Codo 90grd.c/union32mmx1"""
DSE951,"Codo 90grdfijsup20mmx1/2"""
DSE993,"Codo 90grd.dbhem20mmx1/2"""
DSE994,"Codo 90grd.dbhem25mmx1/2"""
DSF001,Cruz lisa de        20 mm
DSF002,Cruz lisa de        25 mm
DSF003,Cruz lisa de        32 mm
DSG301,Abrazad.met.c/anclaj 20mm
DSG302,Abrazad.met.c/anclaj 25mm
DSG303,Abrazad.met.c/anclaj 32mm
DSG304,Abrazad.met.c/anclaj 40mm
DSG305,Abrazad.met.c/anclaj 50mm
DSG306,Abrazad.met.c/anclaj 63mm
DSG307,Abrazad.met.c/anclaj 75mm
DSG308,Abrazad.met.c/anclaj 90mm
DSG309,Abrazad.met.c/ancla 110mm
DSG911,Abrazadera plastica  20mm
DSG912,Abrazadera plastica  25mm
DSG913,Abrazadera plastica  32mm
DSG914,Abrazadera plastica 40 mm
DSG915,Abrazadera plastica 50 mm
DSG916,Abrazadera plastica 63 mm
DSH901,"Codo 90grd.driwa20mmx1/2"""
DSI001,"Unión c/rosc hem20mmx1/2"""
DSI002,"Unión c/rosc hem25mmx3/4"""
DSI003,"Unión c/rosca hemb32mmx1"""
DSI004,"Unión c/roshem40mmx1 1/4"""
DSI005,"Unión c/roshem50mmx1 1/2"""
DSI006,"Unión c/rosca hem 63mmx2"""
DSI101,Union lisa de       20 mm
DSI102,Union lisa de       25 mm
DSI103,Union lisa de       32 mm
DSI104,Union lisa de       40 mm
DSI105,Union lisa de       50 mm
DSI106,Union lisa de       63 mm
DSI201,"Unión c/rosmacho20mmx1/2"""
DSI202,"Unión c/rosmacho25mmx3/4"""
DSI203,"Unión c/rosc macho32mmx1"""
DSI204,"Uniónc/rosmach40mmx1 1/4"""
DSI205,"Uniónc/rosmach50mmx1 1/2"""
DSI206,"Unión c/rosc macho63mmx2"""
DSI301,"Anillo c/union  20mmx1/2"""
DSI302,"Anillo c/union  25mmx3/4"""
DSI303,"Anillo c/union    32mmx1"""
DSI401,Union lisa C/rca cob 20mm
DSI402,Union lisa c/rca cob 25mm
DSI403,Union lisa c/rca bro 32mm
DSI404,Union lisa c/rca cob 40mm
DSI405,Union lisa c/rca bro 50mm
DSI406,Union lisa c/rca cob 63mm
DSJ001,Sobrepaso largo de  20 mm
DSJ002,Sobrepaso largo de  25 mm
DSJ003,Sobrepaso largo de  32 mm
DSJ101,Sobrepaso corto de  20 mm
DSJ102,Sobrepaso corto de  25 mm
DSJ103,Sobrepaso corto de  32 mm
DSK111,Flange de           40 mm
DSK112,Flange de           50 mm
DSK113,Flange de           63 mm
DSK114,Flange de           75 mm
DSK115,Flange de           90 mm
DSK116,Flange de          110 mm
DSK117,Flange de          160 mm
DSL002,Tijera de      20 - 40 mm
DSL003,Tijera Grande de 20-63 mm
DSL004,Tijera Grande de 20-75 mm
DSL005,Tijera cortatubele20-40mm
DSL011,Polif.caj met.matr20-32mm
DSL012,Polif.caj met.matr20-63mm
DSL013,Pol.caj met.matr 75-110mm
DSL014,Dados de            20 mm
DSL015,Dados de            25 mm
DSL016,Dados de            32 mm
DSL017,Dados de            40 mm
DSL018,Dados de            50 mm
DSL019,Dados de            63 mm
DSL020,Dados de            75 mm
DSL021,Dados de            90 mm
DSL022,Dados de           110 mm
DSL034,Polif.s/caja c/mat160mm
DSL035,Polif.de mesa de 75-160mm
DSL1EC,Polif.caj/plast.c/20-32mm
DSL2EC,Polif.caj.plast.c/20-63mm
DSL201,Union lisa c/rosca bronce
DSR001,Llave p.esf.dbl.union20mm
DSR002,Llave p.esf.dbl.union25mm
DSR003,Llave p.esf.dbl.union32mm
DSR004,Llave p.esf.dbl.union40mm
DSR005,Llave p.esf.dbl.union50mm
DSR006,Llave p.esf.dbl.union63mm
DSR011,"Llave p.esf.hem 20mmx1/2"""
DSR012,"Llave p.esf.hem 25mmx3/4"""
DSR013,"Llave p.esf.hem   32mmx1"""
DSW101,Llave de paso esf.de 20mm
DSW102,Llave de paso esf.de 25mm
DSW103,Llave de paso esf.de 32mm
DSW104,Llave de paso esf.de 40mm
DSW105,Llave de paso esf.de 50mm
DSW106,Llave de paso esf.de 63mm
DSW107,Llave de paso esf.de 75mm
DSW108,Llave de paso esf.de 90mm
DSW109,Llave de paso esf.de110mm
DSW126,Llave de paso oculta 20mm
DSW127,Llave de paso oculta 25mm
DSW128,Grupo ducha sencillo 20mm
DSW129,Grupo ducha sencillo 25mm
KO5119,L.HN.A-36   8X1200X6000mm
KO5122,L.HN.A36   10X1200X6000mm
KO5128,L.HN.A-36  12X1200X2400mm
KO5303,Lamina HN 3.0x1200x2400mm
KO5312,Lamina HN 4.0x1000x2400mm
KO5314,Lamina HN 4.0x1200x2400mm
MO5098,L.HN.A36 6.0x1200x2400mm
MO5102,L.HN.A36 6.0x1200x6000mm
MO5285,Lamina HN 2.5x1200x2400mm
MO5289,LAM.HN   2.65X1200X2400mm
MO5303,Lamina HN 3.0x1200x2400mm
MO5306,LAMINA HN 3.0X1100X2400mm
MO5314,Lamina HN 4.0x1200x2400mm
MO5319,Lamina HN 4.5x1200x2400mm
PG5303,LAMINA HN 3.0X1200X2400mm
TH0410,VARILLA EST 4.8mm X 6m
0P0115,PINTURAS EN GALON 1 GAL.
0P0120,PINTURAS EN CUÑETES
000002,ROLLOS 10MM A TRANSFORM.
000003,ROLLOS 6.5 MM TRANSF.
000004,CABILLA 2100 3/8 TRANSF.
000008,CAB. 1.400 3/8 TRANSF.
000050,ALAMBRON5.5COMER.P/DESICA
000060,BOMBA CENT.A2F 25-140
000061,BOMBA CENT.API 610
000099,ZFACTURA ANULADA
000100,OTROS PRODUCTOS
000101,LAMINA
000102,VIGA
000295,(M) ALAM.P/AMARRAR (50kg)
000296,(M) ALAM.P/AMARRAR (25kg)
